Player Name|Details
Tarik Skubal|Cy Young Winner
Chris Sale|Cy Young Winner
Gerrit Cole|Cy Young Winner
Blake Snell|2x Cy Young Winner
Justin Verlander|3x Cy Young Winner
Sandy Alcantara|Cy Young Winner
Robbie Ray|Cy Young Winner
Corbin Burnes|Cy Young Winner
Shane Bieber|Cy Young Winner
Trevor Bauer|Cy Young Winner
Jacob deGrom|2x Cy Young Winner
Corey Kluber|2x Cy Young Winner
Max Scherzer|3x Cy Young Winner
Rick Porcello|Cy Young Winner
Dallas Keuchel|Cy Young Winner
Jake Arrieta|Cy Young Winner
Clayton Kershaw|3x Cy Young Winner
David Price|Cy Young Winner
Seth Lugo|Cy Young Runner Up
Zack Wheeler|2x Cy Young Runner Up
Sonny Gray|Cy Young Runner Up
Logan Webb|Cy Young Runner Up
Dylan Cease|Cy Young Runner Up
Max Fried|Cy Young Runner Up
Kenta Maeda|Cy Young Runner Up
Yu Darvish|2x Cy Young Runner Up
Hyun Jin Ryu|Cy Young Runner Up
Jon Lester|Cy Young Runner Up
Zack Greinke|Cy Young Winner
Félix Hernández|Cy Young Winner
Johnny Cueto|Cy Young Runner Up
Adam Wainwright|2x Cy Young Runner Up
